Season,Injury,Days,Games missed,player_name,player_age,player_position,club,league,salary_eur,salary_daily_eur,injury_cost_eur
22/23,Metatarsal fracture,81,10,Lucas Höler,28,Forward,Freiburg,Bundesliga,478400.0,1310.6849315068494,106165.4794520548
22/23,Back injury,118,26,Andrey Lunev,31,Goalkeeper,Bayer Leverkusen,Bundesliga,1196000.0,3276.7123287671234,386652.05479452055
22/23,Hamstring injury,43,8,Andrey Lunev,31,Goalkeeper,Bayer Leverkusen,Bundesliga,1196000.0,3276.7123287671234,140898.6301369863
22/23,Foot injury,31,1,Piero Hincapié,21,Centre-Back,Bayer Leverkusen,Bundesliga,956800.0,2621.3698630136987,81262.46575342467
22/23,Metatarsal fracture,82,7,Robert Andrich,28,Defensive Midfield,Bayer Leverkusen,Bundesliga,1375400.0,3768.219178082192,308993.9726027397
22/23,bruise,10,1,Robert Andrich,28,Defensive Midfield,Bayer Leverkusen,Bundesliga,1375400.0,3768.219178082192,37682.19178082192
22/23,Muscle injury,24,5,Exequiel Palacios,24,Central Midfield,Bayer Leverkusen,Bundesliga,3289000.0,9010.95890410959,216263.01369863012
22/23,Hamstring injury,50,12,Exequiel Palacios,24,Central Midfield,Bayer Leverkusen,Bundesliga,3289000.0,9010.95890410959,450547.9452054795
22/23,muscular problems,4,1,Kerem Demirbay,29,Central Midfield,Bayer Leverkusen,Bundesliga,4947366.0,13554.427397260271,54217.70958904109
22/23,Adductor pain,18,6,Charles Aránguiz,34,Central Midfield,Bayer Leverkusen,Bundesliga,5083000.0,13926.027397260274,250668.49315068487
22/23,Fitness,24,7,Charles Aránguiz,34,Central Midfield,Bayer Leverkusen,Bundesliga,5083000.0,13926.027397260274,334224.65753424657
22/23,Calf injury,205,32,Charles Aránguiz,34,Central Midfield,Bayer Leverkusen,Bundesliga,5083000.0,13926.027397260274,2854835.616438356
22/23,Broken collarbone,43,13,Amine Adli,23,Left Winger,Bayer Leverkusen,Bundesliga,1196000.0,3276.7123287671234,140898.6301369863
22/23,Knock,5,1,Callum Hudson-Odoi,22,Left Winger,Bayer Leverkusen,Bundesliga,7176000.0,19660.27397260274,98301.3698630137
